id,order_id,product_id,quantity,customer_id
1,10248,11,12,90
2,10248,42,10,90
3,10248,72,5,90
4,10249,14,9,81
5,10249,51,40,81
6,10250,41,10,34
7,10250,51,35,34
8,10250,65,15,34
9,10251,22,6,84
10,10251,57,15,84
11,10251,65,20,84
12,10252,20,40,76
13,10252,33,25,76
14,10252,60,40,76
15,10253,31,20,34
16,10253,39,42,34
17,10253,49,40,34
18,10254,24,15,14
19,10254,55,21,14
20,10254,74,21,14
21,10255,2,20,68
22,10255,16,35,68
23,10255,36,25,68
24,10255,59,30,68
25,10256,53,15,88
26,10256,77,12,88
27,10257,27,25,35
28,10257,39,6,35
29,10257,77,15,35
30,10258,2,50,20
31,10258,5,65,20
32,10258,32,6,20
33,10259,21,10,13
34,10259,37,1,13
35,10260,41,16,55
36,10260,57,50,55
37,10260,62,15,55
38,10260,70,21,55
39,10261,21,20,61
40,10261,35,20,61
41,10262,5,12,65
42,10262,7,15,65
43,10262,56,2,65
44,10263,16,60,20
45,10263,24,28,20
46,10263,30,60,20
47,10263,74,36,20
48,10264,2,35,24
49,10264,41,25,24
50,10265,17,30,7
51,10265,70,20,7
52,10266,12,12,87
53,10267,40,50,25
54,10267,59,70,25
55,10267,76,15,25
56,10268,29,10,33
57,10268,72,4,33
58,10269,33,60,89
59,10269,72,20,89
60,10270,36,30,87
61,10270,43,25,87
62,10271,33,24,75
63,10272,20,6,65
64,10272,31,40,65
65,10272,72,24,65
66,10273,10,24,63
67,10273,31,15,63
68,10273,33,20,63
69,10273,40,60,63
70,10273,76,33,63
71,10274,71,20,85
72,10274,72,7,85
73,10275,24,12,49
74,10275,59,6,49
75,10276,10,15,80
76,10276,13,10,80
77,10277,28,20,52
78,10277,62,12,52
79,10278,44,16,5
80,10278,59,15,5
81,10278,63,8,5
82,10278,73,25,5
83,10279,17,15,44
84,10280,24,12,5
85,10280,55,20,5
86,10280,75,30,5
87,10281,19,1,69
88,10281,24,6,69
89,10281,35,4,69
90,10282,30,6,69
91,10282,57,2,69
92,10283,15,20,46
93,10283,19,18,46
94,10283,60,35,46
95,10283,72,3,46
96,10284,27,15,44
97,10284,44,21,44
98,10284,60,20,44
99,10284,67,5,44
100,10285,1,45,63
101,10285,40,40,63
102,10285,53,36,63
103,10286,35,100,63
104,10286,62,40,63
105,10287,16,40,67
106,10287,34,20,67
107,10287,46,15,67
108,10288,54,10,66
109,10288,68,3,66
110,10289,3,30,11
111,10289,64,9,11
112,10290,5,20,15
113,10290,29,15,15
114,10290,49,15,15
115,10290,77,10,15
116,10291,13,20,61
117,10291,44,24,61
118,10291,51,2,61
119,10292,20,20,81
120,10293,18,12,80
121,10293,24,10,80
122,10293,63,5,80
123,10293,75,6,80
124,10294,1,18,65
125,10294,17,15,65
126,10294,43,15,65
127,10294,60,21,65
128,10294,75,6,65
129,10295,56,4,85
130,10296,11,12,46
131,10296,16,30,46
132,10296,69,15,46
133,10297,39,60,7
134,10297,72,20,7
135,10298,2,40,37
136,10298,36,40,37
137,10298,59,30,37
138,10298,62,15,37
139,10299,19,15,67
140,10299,70,20,67
141,10300,66,30,49
142,10300,68,20,49
143,10301,40,10,86
144,10301,56,20,86
145,10302,17,40,76
146,10302,28,28,76
147,10302,43,12,76
148,10303,40,40,30
149,10303,65,30,30
150,10303,68,15,30
151,10304,49,30,80
152,10304,59,10,80
153,10304,71,2,80
154,10305,18,25,55
155,10305,29,25,55
156,10305,39,30,55
157,10306,30,10,69
158,10306,53,10,69
159,10306,54,5,69
160,10307,62,10,48
161,10307,68,3,48
162,10308,69,1,2
163,10308,70,5,2
164,10309,4,20,37
165,10309,6,30,37
166,10309,42,2,37
167,10309,43,20,37
168,10309,71,3,37
169,10310,16,10,77
170,10310,62,5,77
171,10311,42,6,18
172,10311,69,7,18
173,10312,28,4,86
174,10312,43,24,86
175,10312,53,20,86
176,10312,75,10,86
177,10313,36,12,63
178,10314,32,40,65
179,10314,58,30,65
180,10314,62,25,65
181,10315,34,14,38
182,10315,70,30,38
183,10316,41,10,65
184,10316,62,70,65
185,10317,1,20,48
186,10318,41,20,38
187,10318,76,6,38
188,10319,17,8,80
189,10319,28,14,80
190,10319,76,30,80
191,10320,71,30,87
192,10321,35,10,38
193,10322,52,20,58
194,10323,15,5,39
195,10323,25,4,39
196,10323,39,4,39
197,10324,16,21,71
198,10324,35,70,71
199,10324,46,30,71
200,10324,59,40,71
201,10324,63,80,71
202,10325,6,6,39
203,10325,13,12,39
204,10325,14,9,39
205,10325,31,4,39
206,10325,72,40,39
207,10326,4,24,8
208,10326,57,16,8
209,10326,75,50,8
210,10327,2,25,24
211,10327,11,50,24
212,10327,30,35,24
213,10327,58,30,24
214,10328,59,9,28
215,10328,65,40,28
