id,order_id,product_id,quantity
1,10248,11,12
2,10248,42,10
3,10248,72,5
21,10255,2,20
22,10255,16,35
23,10255,36,25
24,10255,59,30
27,10257,27,25
28,10257,39,6
29,10257,77,15
33,10259,21,10
34,10259,37,1
41,10262,5,12
42,10262,7,15
43,10262,56,2
44,10263,16,60
45,10263,24,28
46,10263,30,60
47,10263,74,36
48,10264,2,35
49,10264,41,25
52,10266,12,12
56,10268,29,10
57,10268,72,4
66,10273,10,24
67,10273,31,15
68,10273,33,20
69,10273,40,60
70,10273,76,33
75,10276,10,15
76,10276,13,10
77,10277,28,20
78,10277,62,12
92,10283,15,20
93,10283,19,18
94,10283,60,35
95,10283,72,3
103,10286,35,100
104,10286,62,40
105,10287,16,40
106,10287,34,20
107,10287,46,15
110,10289,3,30
111,10289,64,9
120,10293,18,12
121,10293,24,10
122,10293,63,5
123,10293,75,6
154,10305,18,25
155,10305,29,25
156,10305,39,30
157,10306,30,10
158,10306,53,10
159,10306,54,5
162,10308,69,1
163,10308,70,5
171,10311,42,6
172,10311,69,7
183,10316,41,10
184,10316,62,70
188,10319,17,8
189,10319,28,14
190,10319,76,30
191,10320,71,30
193,10322,52,20
202,10325,6,6
203,10325,13,12
204,10325,14,9
205,10325,31,4
206,10325,72,40
214,10328,59,9
215,10328,65,40
216,10328,68,10
227,10333,14,10
228,10333,21,10
229,10333,71,40
237,10337,23,40
238,10337,26,24
239,10337,36,20
240,10337,37,28
241,10337,72,25
242,10338,17,20
243,10338,30,15
247,10340,18,20
248,10340,41,12
249,10340,43,40
250,10341,33,8
251,10341,59,9
264,10346,17,36
265,10346,56,20
266,10347,25,10
267,10347,39,50
268,10347,40,4
269,10347,75,6
279,10352,24,10
280,10352,54,20
281,10353,11,12
282,10353,38,50
283,10354,1,12
284,10354,29,4
290,10357,10,30
291,10357,26,16
292,10357,60,8
296,10359,16,56
297,10359,31,70
298,10359,60,80
299,10360,28,30
300,10360,29,35
301,10360,38,10
302,10360,49,35
303,10360,54,28
309,10363,31,20
310,10363,75,12
311,10363,76,12
317,10367,34,36
318,10367,54,18
319,10367,65,15
320,10367,77,7
335,10373,58,80
336,10373,71,50
337,10374,31,30
338,10374,58,15
342,10377,28,20
343,10377,39,20
344,10378,71,6
348,10380,30,18
349,10380,53,20
350,10380,60,6
351,10380,70,30
352,10381,74,14
358,10383,13,20
359,10383,50,15
360,10383,56,20
361,10384,20,28
362,10384,60,15
366,10386,24,15
367,10386,34,10
383,10391,13,18
384,10392,69,50
385,10393,2,25
386,10393,14,42
387,10393,25,7
388,10393,26,70
389,10393,31,32
390,10394,13,10
391,10394,62,10
395,10396,23,40
396,10396,71,60
397,10396,72,21
400,10398,35,30
401,10398,55,120
402,10399,68,60
403,10399,71,30
404,10399,76,35
405,10399,77,14
406,10400,29,21
407,10400,35,35
408,10400,49,30
415,10403,16,21
416,10403,48,70
434,10410,33,49
435,10410,59,16
436,10411,41,25
437,10411,44,40
438,10411,59,9
443,10414,19,18
444,10414,33,50
447,10416,19,20
448,10416,53,10
449,10416,57,20
450,10417,38,50
451,10417,46,2
452,10417,68,36
453,10417,77,35
469,10423,31,14
470,10423,59,20
491,10433,56,28
505,10439,12,15
506,10439,16,16
507,10439,64,6
508,10439,74,30
